Postleitzahl;Name;Landkreis
53913;Swisttal;Landkreis Rhein-Sieg-Kreis
53919;Weilerswist;Landkreis Euskirchen
53925;Kall;Landkreis Euskirchen
53937;Schleiden;Landkreis Euskirchen
53940;Hellenthal;Landkreis Euskirchen
53945;Blankenheim;Landkreis Euskirchen
53947;Nettersheim;Landkreis Euskirchen
53949;Dahlem;Landkreis Euskirchen
57072;Siegen;Landkreis Siegen-Wittgenstein
57074;Siegen;Landkreis Siegen-Wittgenstein
57076;Siegen;Landkreis Siegen-Wittgenstein
57078;Siegen;Landkreis Siegen-Wittgenstein
57080;Siegen;Landkreis Siegen-Wittgenstein
57223;Kreuztal;Landkreis Siegen-Wittgenstein
57234;Wilnsdorf;Landkreis Siegen-Wittgenstein
57250;Netphen;Landkreis Siegen-Wittgenstein
57258;Freudenberg;Landkreis Siegen-Wittgenstein
57271;Hilchenbach;Landkreis Siegen-Wittgenstein
57290;Neunkirchen;Landkreis Siegen-Wittgenstein
57299;Burbach;Landkreis Siegen-Wittgenstein
57319;Bad Berleburg;Landkreis Siegen-Wittgenstein
57334;Bad Laasphe;Landkreis Siegen-Wittgenstein
57339;Erndtebrück;Landkreis Siegen-Wittgenstein
57368;Lennestadt;Landkreis Olpe
57392;Schmallenberg;Landkreis Hochsauerlandkreis
57399;Kirchhundem;Landkreis Olpe
57413;Finnentrop;Landkreis Olpe
57439;Attendorn;Landkreis Olpe
57462;Olpe;Landkreis Olpe
57482;Wenden;Landkreis Olpe
57489;Drolshagen;Landkreis Olpe
58089;Hagen;Hagen
58091;Hagen;Hagen
58093;Hagen;Hagen
58095;Hagen;Hagen
58097;Hagen;Hagen
58099;Hagen;Hagen
58119;Hagen;Hagen
58135;Hagen;Hagen
58239;Schwerte;Landkreis Unna
58256;Ennepetal;Landkreis Ennepe-Ruhr-Kreis
58285;Gevelsberg;Landkreis Ennepe-Ruhr-Kreis
58300;Wetter (Ruhr);Landkreis Ennepe-Ruhr-Kreis
58313;Herdecke;Landkreis Ennepe-Ruhr-Kreis
58332;Schwelm;Landkreis Ennepe-Ruhr-Kreis
58339;Breckerfeld;Landkreis Ennepe-Ruhr-Kreis
58452;Witten;Landkreis Ennepe-Ruhr-Kreis
58453;Witten;Landkreis Ennepe-Ruhr-Kreis
58454;Witten;Landkreis Ennepe-Ruhr-Kreis
58455;Witten;Landkreis Ennepe-Ruhr-Kreis
58456;Witten;Landkreis Ennepe-Ruhr-Kreis
58507;Lüdenscheid;Landkreis Märkischer Kreis
58509;Lüdenscheid;Landkreis Märkischer Kreis
58511;Lüdenscheid;Landkreis Märkischer Kreis
58513;Lüdenscheid;Landkreis Märkischer Kreis
58515;Lüdenscheid;Landkreis Märkischer Kreis
58540;Meinerzhagen;Landkreis Märkischer Kreis
58553;Halver;Landkreis Märkischer Kreis
58566;Kierspe;Landkreis Märkischer Kreis
58579;Schalksmühle;Landkreis Märkischer Kreis
58636;Iserlohn;Landkreis Märkischer Kreis
58638;Iserlohn;Landkreis Märkischer Kreis
58640;Iserlohn;Landkreis Märkischer Kreis
58642;Iserlohn;Landkreis Märkischer Kreis
58644;Iserlohn;Landkreis Märkischer Kreis
58675;Hemer;Landkreis Märkischer Kreis
58706;Menden (Sauerland);Landkreis Märkischer Kreis
58708;Menden (Sauerland);Landkreis Märkischer Kreis
58710;Menden (Sauerland);Landkreis Märkischer Kreis
58730;Fröndenberg/Ruhr;Landkreis Unna
58739;Wickede (Ruhr);Landkreis Soest
58762;Altena;Landkreis Märkischer Kreis
58769;Nachrodt-Wiblingwerde;Landkreis Märkischer Kreis
58791;Werdohl;Landkreis Märkischer Kreis
58802;Balve;Landkreis Märkischer Kreis
58809;Neuenrade;Landkreis Märkischer Kreis
58840;Plettenberg;Landkreis Märkischer Kreis
58849;Herscheid;Landkreis Märkischer Kreis
59063;Hamm;Hamm
59065;Hamm;Hamm
59067;Hamm;Hamm
59069;Hamm;Hamm
59071;Hamm;Hamm
59073;Hamm;Hamm
59075;Hamm;Hamm
59077;Hamm;Hamm
59174;Kamen;Landkreis Unna
59192;Bergkamen;Landkreis Unna
59199;Bönen;Landkreis Unna
59227;Ahlen;Landkreis Warendorf
59229;Ahlen;Landkreis Warendorf
59269;Beckum;Landkreis Warendorf
59302;Oelde;Landkreis Warendorf
59320;Ennigerloh;Landkreis Warendorf
59329;Wadersloh;Landkreis Warendorf
59348;Lüdinghausen;Landkreis Coesfeld
59368;Werne;Landkreis Unna
59379;Selm;Landkreis Unna
59387;Ascheberg;Landkreis Coesfeld
59394;Nordkirchen;Landkreis Coesfeld
59399;Olfen;Landkreis Coesfeld
59423;Unna;Landkreis Unna
59425;Unna;Landkreis Unna
59427;Unna;Landkreis Unna
59439;Holzwickede;Landkreis Unna
59457;Werl;Landkreis Soest
59469;Ense;Landkreis Soest
59494;Soest;Landkreis Soest
59505;Bad Sassendorf;Landkreis Soest
59510;Lippetal;Landkreis Soest
59514;Welver;Landkreis Soest
59519;Möhnesee;Landkreis Soest
59555;Lippstadt;Landkreis Soest
59556;Lippstadt;Landkreis Soest
59557;Lippstadt;Landkreis Soest
59558;Lippstadt;Landkreis Soest
59581;Warstein;Landkreis Soest
59590;Geseke;Landkreis Soest
59597;Erwitte;Landkreis Soest
59602;Rüthen;Landkreis Soest
59609;Anröchte;Landkreis Soest
59755;Arnsberg;Landkreis Hochsauerlandkreis
59757;Arnsberg;Landkreis Hochsauerlandkreis
59759;Arnsberg;Landkreis Hochsauerlandkreis
59821;Arnsberg;Landkreis Hochsauerlandkreis
59823;Arnsberg;Landkreis Hochsauerlandkreis
59846;Sundern (Sauerland);Landkreis Hochsauerlandkreis
59872;Meschede;Landkreis Hochsauerlandkreis
59889;Eslohe (Sauerland);Landkreis Hochsauerlandkreis
59909;Bestwig;Landkreis Hochsauerlandkreis
59929;Brilon;Landkreis Hochsauerlandkreis
59939;Olsberg;Landkreis Hochsauerlandkreis
59955;Winterberg;Landkreis Hochsauerlandkreis
59964;Medebach;Landkreis Hochsauerlandkreis
59969;Hallenberg;Landkreis Hochsauerlandkreis
